id,file_path,file_size,line_count,extension,language
1,Markdown/000001.md,34784,572,md,Markdown
2,XML/000002.props,3013,44,props,XML
3,Text/000003.txt,1076,21,txt,Text
4,Markdown/000004.md,8105,84,md,Markdown
5,Markdown/000005.md,2763,41,md,Markdown
6,Markdown/000006.md,2030,32,md,Markdown
7,JSON/000007.json,591,19,json,JSON
8,JSON/000008.json,183,11,json,JSON
9,JSON/000009.json,2025,52,json,JSON
10,Dockerfile/000010.Dockerfile,868,21,Dockerfile,Dockerfile
11,Shell/000011.sh,6860,171,sh,Shell
12,Shell/000012.sh,1279,33,sh,Shell
13,C#/000013.cs,3357,91,cs,C#
14,C#/000014.cs,1228,38,cs,C#
15,C#/000015.cs,2220,50,cs,C#
16,C#/000016.cs,1225,37,cs,C#
17,C#/000017.cs,9540,234,cs,C#
18,C#/000018.cs,1760,58,cs,C#
19,C#/000019.cs,760,24,cs,C#
20,C#/000020.cs,1228,38,cs,C#
21,XML/000021.csproj,333,12,csproj,XML
22,C#/000022.cs,2273,49,cs,C#
23,C#/000023.cs,990,39,cs,C#
24,C#/000024.cs,995,42,cs,C#
25,C#/000025.cs,1283,46,cs,C#
26,C#/000026.cs,2723,77,cs,C#
27,C#/000027.cs,671,26,cs,C#
28,C#/000028.cs,1005,32,cs,C#
29,C#/000029.cs,364,16,cs,C#
30,C#/000030.cs,973,34,cs,C#
31,C#/000031.cs,326,15,cs,C#
32,C#/000032.cs,1984,61,cs,C#
33,C#/000033.cs,444,19,cs,C#
34,C#/000034.cs,393,17,cs,C#
35,C#/000035.cs,4470,140,cs,C#
36,C#/000036.cs,2609,81,cs,C#
37,C#/000037.cs,1308,41,cs,C#
38,C#/000038.cs,644,20,cs,C#
39,XML/000039.csproj,883,22,csproj,XML
40,C#/000040.cs,10106,286,cs,C#
41,C#/000041.cs,355,14,cs,C#
42,C#/000042.cs,411,14,cs,C#
43,C#/000043.cs,403,14,cs,C#
44,C#/000044.cs,2580,99,cs,C#
45,C#/000045.cs,320,13,cs,C#
46,C#/000046.cs,4177,122,cs,C#
47,C#/000047.cs,2655,67,cs,C#
48,C#/000048.cs,2619,60,cs,C#
49,C#/000049.cs,22663,525,cs,C#
50,C#/000050.cs,872,31,cs,C#
51,C#/000051.cs,2840,102,cs,C#
52,C#/000052.cs,361,15,cs,C#
53,C#/000053.cs,464,15,cs,C#
54,C#/000054.cs,614,20,cs,C#
55,C#/000055.cs,451,16,cs,C#
56,C#/000056.cs,331,13,cs,C#
57,C#/000057.cs,2243,64,cs,C#
58,C#/000058.cs,1101,34,cs,C#
59,C#/000059.cs,3856,118,cs,C#
60,XML/000060.props,99,0,props,XML
61,XML/000061.targets,99,0,targets,XML
62,YAML/000062.yml,200,8,yml,YAML
63,C#/000063.cs,2127,59,cs,C#
64,C#/000064.cs,5766,166,cs,C#
65,C#/000065.cs,5300,140,cs,C#
66,C#/000066.cs,3621,98,cs,C#
67,C#/000067.cs,1061,37,cs,C#
68,XML/000068.csproj,1796,34,csproj,XML
69,JSON/000069.json,10538,264,json,JSON
70,PowerShell/000070.ps1,3997,118,ps1,PowerShell
71,C#/000071.cs,1039,26,cs,C#
72,XML/000072.csproj,322,15,csproj,XML
73,C#/000073.cs,1200,40,cs,C#
74,C#/000074.cs,587,21,cs,C#
75,C#/000075.cs,370,16,cs,C#
76,C#/000076.cs,5167,160,cs,C#
77,C#/000077.cs,396,16,cs,C#
78,C#/000078.cs,8358,240,cs,C#
79,C#/000079.cs,1233,32,cs,C#
80,C#/000080.cs,7907,218,cs,C#
81,C#/000081.cs,2602,84,cs,C#
82,Markdown/000082.md,10799,276,md,Markdown
83,Markdown/000083.md,532,8,md,Markdown
84,PowerShell/000084.ps1,8546,184,ps1,PowerShell
85,Markdown/000085.md,15044,393,md,Markdown
86,Markdown/000086.md,13936,151,md,Markdown
87,Markdown/000087.md,3079,56,md,Markdown
88,Markdown/000088.md,5368,76,md,Markdown
89,Markdown/000089.md,124,1,md,Markdown
90,Markdown/000090.md,9675,196,md,Markdown
91,Markdown/000091.md,6796,186,md,Markdown
92,Markdown/000092.md,3459,63,md,Markdown
93,YAML/000093.yml,18,1,yml,YAML
94,XML/000094.targets,602,15,targets,XML
95,Markdown/000095.md,2258,58,md,Markdown
96,XML/000096.targets,2745,50,targets,XML
97,JSON/000097.json,855,30,json,JSON
98,JSON/000098.json,6888,94,json,JSON
99,XML/000099.props,15465,249,props,XML
100,Text/000100.txt,774,7,txt,Text
101,XML/000101.props,18991,274,props,XML
102,JSON/000102.json,436,9,json,JSON
103,HTML/000103.html,8933,356,html,HTML
104,Markdown/000104.md,372,3,md,Markdown
105,JSON/000105.json,1316,72,json,JSON
106,PowerShell/000106.ps1,9056,193,ps1,PowerShell
107,SVG/000107.svg,6692,76,svg,SVG
108,CSS/000108.css,6089,310,css,CSS
109,Javascript/000109.js,8137,238,js,Javascript
110,YAML/000110.yml,2851,70,yml,YAML
111,YAML/000111.yml,702,14,yml,YAML
112,YAML/000112.yml,1089,29,yml,YAML
113,YAML/000113.yml,1262,27,yml,YAML
114,YAML/000114.yml,755,22,yml,YAML
115,YAML/000115.yml,2220,53,yml,YAML
116,YAML/000116.yml,1075,25,yml,YAML
117,YAML/000117.yml,581,20,yml,YAML
118,YAML/000118.yml,1334,22,yml,YAML
119,YAML/000119.yml,1978,54,yml,YAML
120,YAML/000120.yml,6816,179,yml,YAML
121,YAML/000121.yml,577,20,yml,YAML
122,YAML/000122.yml,617,14,yml,YAML
123,YAML/000123.yml,3265,80,yml,YAML
124,YAML/000124.yml,4230,111,yml,YAML
125,YAML/000125.yml,1585,30,yml,YAML
126,YAML/000126.yml,588,15,yml,YAML
127,PowerShell/000127.ps1,600,27,ps1,PowerShell
128,PowerShell/000128.ps1,595,27,ps1,PowerShell
129,PowerShell/000129.ps1,2264,57,ps1,PowerShell
130,PowerShell/000130.ps1,7326,199,ps1,PowerShell
131,PowerShell/000131.ps1,11832,364,ps1,PowerShell
132,PowerShell/000132.ps1,8491,312,ps1,PowerShell
133,PowerShell/000133.ps1,2354,55,ps1,PowerShell
134,PowerShell/000134.ps1,9202,245,ps1,PowerShell
135,PowerShell/000135.ps1,416,11,ps1,PowerShell
136,PowerShell/000136.ps1,4007,140,ps1,PowerShell
137,PowerShell/000137.ps1,7646,175,ps1,PowerShell
138,PowerShell/000138.ps1,1766,41,ps1,PowerShell
139,PowerShell/000139.ps1,1909,60,ps1,PowerShell
140,PowerShell/000140.ps1,663,32,ps1,PowerShell
141,PowerShell/000141.ps1,4527,129,ps1,PowerShell
142,PowerShell/000142.ps1,2253,81,ps1,PowerShell
143,PowerShell/000143.ps1,1406,40,ps1,PowerShell
144,PowerShell/000144.ps1,4908,95,ps1,PowerShell
145,PowerShell/000145.ps1,432,13,ps1,PowerShell
